mysql> select * from recipes;
+------+---------------------------------------------------------------------------+---------------------------------------------------------------------------------------------------------------+
| id   | name                                                                      | link                                                                                                          |
+------+---------------------------------------------------------------------------+---------------------------------------------------------------------------------------------------------------+
| 1327 | Simply Recipes Food and Cooking Blog                                      | http://www.simplyrecipes.com/                                                                                 |
| 1328 | Home                                                                      | http://www.simplyrecipes.com/                                                                                 |
| 1329 | About                                                                     | http://www.simplyrecipes.com/about.php                                                                        |
| 1330 | Recipe Index                                                              | http://www.simplyrecipes.com/subject-index.php                                                                |
| 1331 | Subscribe                                                                 | http://www.simplyrecipes.com/subscribe.php                                                                    |
| 1332 | Recipe Box                                                                | http://simplyrecipes.ziplist.com/recipes/box                                                                  |
| 1333 |                                                                           | javascript:void(0)                                                                                            |
| 1334 |                                                                           | javascript:void(0)                                                                                            |
| 1335 | by Ingredient                                                             | http://www.simplyrecipes.com/subject-index.php                                                                |
| 1336 | 7 Layer Bean Dip                                                          | http://www.simplyrecipes.com/recipes/7_layer_bean_dip/                                                        |
| 1337 | African Chicken Peanut Stew                                               | http://www.simplyrecipes.com/recipes/african_chicken_peanut_stew/                                             |
| 1338 | Agua de Jamaica (Hibiscus Tea)                                            | http://www.simplyrecipes.com/recipes/agua_de_jamaica_hibiscus_tea/                                            |
| 1339 | Albondigas Soup                                                           | http://www.simplyrecipes.com/recipes/albondigas_soup/                                                         |
| 1340 | All Butter Crust for Sweet and Savory Pies (Pâte Brisée)                  | http://www.simplyrecipes.com/recipes/all_butter_crust_for_sweet_and_savory_pies_pate_brisee/                  |
| 1341 | All Butter Pie Crust with Almonds                                         | http://www.simplyrecipes.com/recipes/all_butter_pie_crust_with_almonds/                                       |
| 1342 | Almond Crescent Cookies                                                   | http://www.simplyrecipes.com/recipes/almond_crescent_cookies/                                                 |
| 1343 | Almond Roca                                                               | http://www.simplyrecipes.com/recipes/almond_roca/                                                             |
| 1344 | Amaretti Cookies                                                          | http://www.simplyrecipes.com/recipes/amaretti_cookies/                                                        |
| 1345 | Anadama Bread                                                             | http://www.simplyrecipes.com/recipes/anadama_bread/                                                           |
| 1346 | Ancho Chile, Shrimp, and Pasta                                            | http://www.simplyrecipes.com/recipes/ancho_chile_shrimp_and_pasta/                                            |
| 1347 | Angel Hair Pasta with Shrimp and Lemon Cream Sauce                        | http://www.simplyrecipes.com/recipes/angel_hair_pasta_with_shrimp_and_lemon_cream_sauce/                      |
| 1348 | Angels on Horseback                                                       | http://www.simplyrecipes.com/recipes/angels_on_horseback/                                                     |
| 1349 | Apple Almond Cranberry Pie                                                | http://www.simplyrecipes.com/recipes/apple_almond_cranberry_pie/                                              |
| 1350 | Apple Butter                                                              | http://www.simplyrecipes.com/recipes/apple_butter/                                                            |
| 1351 | Apple Carrot Cupcake                                                      | http://www.simplyrecipes.com/recipes/apple_carrot_cupcake/                                                    |
| 1352 | Apple Chicken Quesadilla                                                  | http://www.simplyrecipes.com/recipes/apple_chicken_quesadilla/                                                |
| 1353 | Apple Chutney                                                             | http://www.simplyrecipes.com/recipes/apple_chutney/                                                           |
| 1354 | Apple Cobbler                                                             | http://www.simplyrecipes.com/recipes/apple_cobbler/                                                           |
| 1355 | Apple Coffee Cake                                                         | http://www.simplyrecipes.com/recipes/apple_coffee_cake/                                                       |
| 1356 | Apple Cranberry Chutney                                                   | http://www.simplyrecipes.com/recipes/apple_cranberry_chutney/                                                 |
| 1357 | Apple Cranberry Currant Crumble Pie                                       | http://www.simplyrecipes.com/recipes/apple_cranberry_currant_crumble_pie/                                     |
| 1358 | Apple Cranberry Pie                                                       | http://www.simplyrecipes.com/recipes/apple_cranberry_pie/                                                     |
| 1359 | Apple Cranberry Stuffed Pork Roast                                        | http://www.simplyrecipes.com/recipes/apple_cranberry_stuffed_pork_roast/                                      |
| 1360 | Apple Crisp                                                               | http://www.simplyrecipes.com/recipes/apple_crisp/                                                             |
| 1361 | Apple Peanut Butter Sandwich                                              | http://www.simplyrecipes.com/recipes/apple_peanut_butter_sandwich/                                            |
| 1362 | Apple Turnovers                                                           | http://www.simplyrecipes.com/recipes/apple_turnovers/                                                         |
| 1363 | Apple Upside Down Cake                                                    | http://www.simplyrecipes.com/recipes/apple_upside_down_cake/                                                  |
| 1364 | Apple Walnut Gorgonzola Rustic Tart                                       | http://www.simplyrecipes.com/recipes/apple_walnut_gorgonzola_rustic_tart/                                     |
| 1365 | Apple Walnut Gorgonzola Turnovers                                         | http://www.simplyrecipes.com/recipes/apple_walnut_gorgonzola_turnovers/                                       |
| 1366 | Apple and Sausage Pie                                                     | http://www.simplyrecipes.com/recipes/apple_and_sausage_pie/                                                   |
| 1367 | Applesauce                                                                | http://www.simplyrecipes.com/recipes/applesauce/                                                              |
| 1368 | Applesauce Spice Cake                                                     | http://www.simplyrecipes.com/recipes/applesauce_spice_cake/                                                   |
| 1369 | Apricot Berry Cobbler                                                     | http://www.simplyrecipes.com/recipes/apricot_berry_cobbler/                                                   |
| 1370 | Apricot Chicken                                                           | http://www.simplyrecipes.com/recipes/apricot_chicken/                                                         |
| 1371 | Apricot Riesling Jam                                                      | http://www.simplyrecipes.com/recipes/apricot_riesling_jam/                                                    |
| 1372 | Arroz Con Pollo                                                           | http://www.simplyrecipes.com/recipes/arroz_con_pollo/                                                         |
| 1373 | Artichoke Soup                                                            | http://www.simplyrecipes.com/recipes/artichoke_soup/                                                          |
| 1374 | Arugula Corn Salad with Bacon                                             | http://www.simplyrecipes.com/recipes/arugula_corn_salad_with_bacon/                                           |
| 1375 | Arugula Pesto                                                             | http://www.simplyrecipes.com/recipes/arugula_pesto/                                                           |
| 1376 | Arugula Salad with Beets and Goat Cheese                                  | http://www.simplyrecipes.com/recipes/arugula_salad_with_beets_and_goat_cheese/                                |
| 1377 | Arugula, Mozzarella, Tomato on Focaccia                                   | http://www.simplyrecipes.com/recipes/arugula_mozzarella_tomato_on_focaccia/                                   |
| 1378 | As-You-Like-It Breakfast Casserole                                        | http://www.simplyrecipes.com/recipes/as-you-like-it_breakfast_casserole/                                      |
| 1379 | Asian Coleslaw                                                            | http://www.simplyrecipes.com/recipes/asian_coleslaw/                                                          |
| 1380 | Asparagus                                                                 | http://www.simplyrecipes.com/recipes/asparagus/                                                               |
| 1381 | Asparagus Artichoke Salad                                                 | http://www.simplyrecipes.com/recipes/asparagus_artichoke_salad/                                               |
| 1382 | Asparagus Frittata                                                        | http://www.simplyrecipes.com/recipes/asparagus_frittata/                                                      |
| 1383 | Asparagus Pesto with Pasta                                                | http://www.simplyrecipes.com/recipes/asparagus_pesto_with_pasta/                                              |
| 1384 | Asparagus Risotto                                                         | http://www.simplyrecipes.com/recipes/asparagus_risotto/                                                       |
| 1385 | Asparagus Salad with Shrimp                                               | http://www.simplyrecipes.com/recipes/asparagus_salad_with_shrimp/                                             |
| 1386 | Asparagus Soufflé                                                         | http://www.simplyrecipes.com/recipes/asparagus_souffle/                                                       |
| 1387 | Asparagus with Hollandaise Sauce                                          | http://www.simplyrecipes.com/recipes/asparagus_with_hollandaise_sauce/                                        |
| 1388 | Asparagus with Lime and Mint                                              | http://www.simplyrecipes.com/recipes/asparagus_with_lime_and_mint/                                            |
| 1389 | Avgolemono Soup                                                           | http://www.simplyrecipes.com/recipes/avgolemono_soup/                                                         |
| 1390 | Avocado Salad with Heirloom Tomatoes                                      | http://www.simplyrecipes.com/recipes/avocado_salad_with_heirloom_tomatoes/                                    |
| 1391 | Awesome Oatmeal Chocolate Chip Cookie                                     | http://www.simplyrecipes.com/recipes/awesome_oatmeal_chocolate_chip_cookie/                                   |
| 1392 | Aztec Chocolate Bark                                                      | http://www.simplyrecipes.com/recipes/aztec_chocolate_bark/                                                    |
| 1393 | BBQ Turkey with Mustard Sauce                                             | http://www.simplyrecipes.com/recipes/bbq_turkey_with_mustard_sauce/                                           |
| 1394 | Baby Bok Choy with Cashews                                                | http://www.simplyrecipes.com/recipes/baby_bok_choy_with_cashews/                                              |
| 1395 | Baby Bok Choy with Sherry and Prosciutto                                  | http://www.simplyrecipes.com/recipes/baby_bok_choy_with_sherry_and_prosciutto/                                |
| 1396 | Baby Bok Choy with Yellow Bell Peppers                                    | http://www.simplyrecipes.com/recipes/baby_bok_choy_with_yellow_bell_peppers/                                  |
| 1397 | Bacon-wrapped Pork Roast                                                  | http://www.simplyrecipes.com/recipes/bacon-wrapped_pork_roast/                                                |
| 1398 | Baked Apples                                                              | http://www.simplyrecipes.com/recipes/baked_apples/                                                            |
| 1399 | Baked Beans in Tomato Sauce                                               | http://www.simplyrecipes.com/recipes/baked_beans_in_tomato_sauce/                                             |
| 1400 | Baked Bluefish                                                            | http://www.simplyrecipes.com/recipes/baked_bluefish/                                                          |
| 1401 | Baked Brie                                                                | http://www.simplyrecipes.com/recipes/baked_brie/                                                              |
| 1402 | Baked Chicken Parmesan                                                    | http://www.simplyrecipes.com/recipes/baked_chicken_parmesan/                                                  |
| 1403 | Baked Cod with Ritz Cracker Topping                                       | http://www.simplyrecipes.com/recipes/baked_cod_with_ritz_cracker_topping/                                     |
| 1404 | Baked Ling Cod with Lemon-Garlic Butter Sauce                             | http://www.simplyrecipes.com/recipes/baked_ling_cod_with_lemon-garlic_butter_sauce/                           |
| 1405 | Baked Scallops                                                            | http://www.simplyrecipes.com/recipes/baked_scallops/                                                          |
| 1406 | Baked Shrimp in Tomato Feta Sauce                                         | http://www.simplyrecipes.com/recipes/baked_shrimp_in_tomato_feta_sauce/                                       |
| 1407 | Baked Shrimp with Tomatillos                                              | http://www.simplyrecipes.com/recipes/baked_shrimp_with_tomatillos/                                            |
| 1408 | Baked Stuffed Clams                                                       | http://www.simplyrecipes.com/recipes/baked_stuffed_clams/                                                     |
| 1409 | Baked Stuffed Jalapeños                                                   | http://www.simplyrecipes.com/recipes/baked_stuffed_jalapenos/                                                 |
| 1410 | Baked Ziti                                                                | http://www.simplyrecipes.com/recipes/baked_ziti/                                                              |
| 1411 | Baklava                                                                   | http://www.simplyrecipes.com/recipes/baklava/                                                                 |
| 1412 | Banana Bread                                                              | http://www.simplyrecipes.com/recipes/banana_bread/                                                            |
| 1413 | Banana Cookies                                                            | http://www.simplyrecipes.com/recipes/banana_cookies/                                                          |
| 1414 | Banana Nut Muffins                                                        | http://www.simplyrecipes.com/recipes/banana_nut_muffins/                                                      |
| 1415 | Banana Sheet Cake                                                         | http://www.simplyrecipes.com/recipes/banana_sheet_cake/                                                       |
| 1416 | Barbecued Buffalo Wings                                                   | http://www.simplyrecipes.com/recipes/barbecued_buffalo_wings/                                                 |
| 1417 | Barbecued Chicken on the Grill                                            | http://www.simplyrecipes.com/recipes/barbecued_chicken_on_the_grill/                                          |
| 1418 | Barbecued Pork Shoulder on a Gas Grill                                    | http://www.simplyrecipes.com/recipes/barbecued_pork_shoulder_on_a_gas_grill/                                  |
| 1419 | Basic Tomato Sauce                                                        | http://www.simplyrecipes.com/recipes/basic_tomato_sauce/                                                      |
| 1420 | Basil Chicken in Coconut Curry Sauce                                      | http://www.simplyrecipes.com/recipes/basil_chicken_in_coconut_curry_sauce/                                    |
| 1421 | Basil Hummus                                                              | http://www.simplyrecipes.com/recipes/basil_hummus/                                                            |
| 1422 | Basil Vinaigrette                                                         | http://www.simplyrecipes.com/recipes/basil_vinaigrette/                                                       |
| 1423 | Basque Lamb Stew                                                          | http://www.simplyrecipes.com/recipes/basque_lamb_stew/                                                        |
| 1424 | Bavarian Sauerkraut                                                       | http://www.simplyrecipes.com/recipes/bavarian_sauerkraut/                                                     |
| 1425 | Becca's Jambalaya                                                         | http://www.simplyrecipes.com/recipes/beccas_jambalaya/                                                        |
| 1426 | Beef Bouillon Soup from Oxtails                                           | http://www.simplyrecipes.com/recipes/beef_bouillon_soup_from_oxtails/                                         |
| 1427 | Beef Bourguignon                                                          | http://www.simplyrecipes.com/recipes/beef_bourguignon/                                                        |
| 1428 | Beef Brisket                                                              | http://www.simplyrecipes.com/recipes/beef_brisket/                                                            |
| 1429 | Beef Brisket Pot Roast                                                    | http://www.simplyrecipes.com/recipes/beef_brisket_pot_roast/                                                  |
| 1430 | Beef Goulash with Dumplings                                               | http://www.simplyrecipes.com/recipes/beef_goulash_with_dumplings/                                             |
| 1431 | Beef Kebabs                                                               | http://www.simplyrecipes.com/recipes/beef_kebabs/                                                             |
| 1432 | Beef Roast Braised in Zinfandel                                           | http://www.simplyrecipes.com/recipes/beef_roast_braised_in_zinfandel/                                         |
| 1433 | Beef Stroganoff                                                           | http://www.simplyrecipes.com/recipes/beef_stroganoff/                                                         |
| 1434 | Beef Tacos de Lengua                                                      | http://www.simplyrecipes.com/recipes/beef_tacos_de_lengua/                                                    |
| 1435 | Beef Wellington                                                           | http://www.simplyrecipes.com/recipes/beef_wellington/                                                         |
| 1436 | Beef and Barley Stew with Mushrooms                                       | http://www.simplyrecipes.com/recipes/beef_and_barley_stew_with_mushrooms/                                     |
| 1437 | Beer Can Chicken                                                          | http://www.simplyrecipes.com/recipes/beer_can_chicken/                                                        |
| 1438 | Beet Greens                                                               | http://www.simplyrecipes.com/recipes/beet_greens/                                                             |
| 1439 | Beet Hummus                                                               | http://www.simplyrecipes.com/recipes/beet_hummus/                                                             |
| 1440 | Bell Pepper Salsa                                                         | http://www.simplyrecipes.com/recipes/bell_pepper_salsa/                                                       |
| 1441 | Benne Wafers                                                              | http://www.simplyrecipes.com/recipes/benne_wafers/                                                            |
| 1442 | Berry Almond Crumble                                                      | http://www.simplyrecipes.com/recipes/berry_almond_crumble/                                                    |
| 1443 | Berry Banana Smoothie                                                     | http://www.simplyrecipes.com/recipes/berry_banana_smoothie/                                                   |
| 1444 | Berry Cobbler with Coconut Walnut Topping                                 | http://www.simplyrecipes.com/recipes/berry_cobbler_with_coconut_walnut_topping/                               |
| 1445 | Berry Tart                                                                | http://www.simplyrecipes.com/recipes/berry_tart/                                                              |
| 1446 | Berry and Banana Terrine                                                  | http://www.simplyrecipes.com/recipes/berry_and_banana_terrine/                                                |
| 1447 | Bisquick Apple Coffee Cake                                                | http://www.simplyrecipes.com/recipes/bisquick_apple_coffee_cake/                                              |
| 1448 | Bittersweet Chocolate Cake                                                | http://www.simplyrecipes.com/recipes/bittersweet_chocolate_cake/                                              |
| 1449 | Black Bean Salad                                                          | http://www.simplyrecipes.com/recipes/black_bean_salad/                                                        |
